Forum Confirm (y/n),Mod Check (y/n),Timestamp,TankTrouble Username:,Signing up:,Policies,Select each half hour interval (UTC) on which you are available: [Sunday],Select each half hour interval (UTC) on which you are available: [Monday],Select each half hour interval (UTC) on which you are available: [Tuesday],Select each half hour interval (UTC) on which you are available: [Wednesday],Select each half hour interval (UTC) on which you are available: [Thursday],Select each half hour interval (UTC) on which you are available: [Friday],Select each half hour interval (UTC) on which you are available: [Saturday],Enter your timezone:,Enter your country:,Special Occasions:,Rank the servers based on your usual ping: [Atlanta],Rank the servers based on your usual ping: [Dallas],Rank the servers based on your usual ping: [Fremont],Rank the servers based on your usual ping: [London],Rank the servers based on your usual ping: [Newark],Rank the servers based on your usual ping: [Singapore],Rank the servers based on your usual ping: [Sydney]
y,y,8/12/2021 19:40:14,Joplin,As a Spectator only,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Target gamemode., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that any player watching my match can remove me from TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I am applying for the Classic gamemode.","15:00, 15:30, 16:00, 16:30, 17:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30","09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00","15:00, 15:30, 16:00, 16:30, 17:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00",EST,USA,N/A,50 - 100ms,50 - 100ms,50 - 100ms,100 - 150ms,0 - 50ms,200ms+,150 - 200ms
resigned,resigned,8/12/2021 19:55:36,QuickMegaElf,As a Player only,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that any player watching my match can remove me from TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that my opponent will organize our match time for us., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Target gamemode., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00",04:00,04:00,04:00,04:00,04:00,"00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00",ET,United States,N/A,50 - 100ms,0 - 50ms,50 - 100ms,100 - 150ms,50 - 100ms,200ms+,150 - 200ms
y,y,8/12/2021 20:10:28,Kurupted,As a Player and Spectator,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it.",04:00,04:00,04:00,04:00,04:00,04:00,04:00,Eastern Daylight Time,USA,N/A,0 - 50ms,50 - 100ms,50 - 100ms,150 - 200ms,50 - 100ms,200ms+,200ms+
y,y,8/12/2021 21:08:47,Yikes,As a Player and Spectator,"I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I cannot leave a match for more than 10 total minutes.","00:30, 04:00","01:30, 02:00, 02:30, 03:00","01:30, 02:00, 02:30, 03:00","01:30, 02:00, 02:30, 03:00","01:30, 02:00, 02:30, 03:00","01:30, 02:00, 02:30, 03:00","00:30, 04:00",Eastern Daylight Time,Canada,N/A,0 - 50ms,50 - 100ms,150 - 200ms,150 - 200ms,0 - 50ms,200ms+,200ms+
y,y,8/12/2021 21:16:25,TheDarkInvader,As a Player only,"I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I cannot leave a match for more than 10 total minutes., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30",00:00,00:00,00:00,00:00,00:00,"10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30",9:13 P.M,America,Have school Monday-Friday,0 - 50ms,50 - 100ms,50 - 100ms,100 - 150ms,0 - 50ms,200ms+,200ms+
y,y,8/12/2021 21:20:56,JawBone,As a Spectator only,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that any player watching my match can remove me from TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that my opponent will organize our match time for us., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Target gamemode., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","00:00, 00:30","00:00, 00:30, 01:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30","00:00, 00:30, 01:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30",Mountain Daylight Time,United States,N/A,50 - 100ms,50 - 100ms,50 - 100ms,200ms+,100 - 150ms,200ms+,200ms+
y,y,8/12/2021 21:50:03,CosmosAblaze,As a Player and Spectator,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","02:30, 03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00","02:30, 03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00","02:30, 03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00","02:30, 03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00","02:30, 03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00","03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00","03:00, 03:30, 04:00, 04:30, 05:00, 05:30, 06:00",ET,US,I have work which can be unpredictable so please set my match times well in advance,0 - 50ms,100 - 150ms,150 - 200ms,200ms+,50 - 100ms,200ms+,200ms+
y,n 3m,8/12/2021 21:54:55,Agitate,As a Player and Spectator,"I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that any player watching my match can remove me from TTOC., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that I am applying for the Target gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that my opponent will organize our match time for us., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","02:30, 04:00","02:30, 04:00","02:30, 04:00","02:30, 04:00","02:30, 04:00","02:30, 04:00","02:30, 04:00",9:48Pm,United state,Us,100 - 150ms,100 - 150ms,150 - 200ms,50 - 100ms,50 - 100ms,200ms+,200ms+
y,y,8/12/2021 22:19:59,Spiros04,As a Player only,"I understand that I am applying for the Classic gamemode., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I cannot leave a match for more than 10 total minutes., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match.","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30",Central Daylight Time,USA - Minnesota,"Every friday ""guest get to together"" at 2:00 - 11:00 PM",0 - 50ms,0 - 50ms,0 - 50ms,100 - 150ms,50 - 100ms,150 - 200ms,200ms+
n,,8/12/2021 22:29:07,tasufdgiyasgdi,As a Player and Spectator,"I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it.",03:00,03:00,03:00,03:00,03:00,03:00,03:00,tdryftugy,xrsetdrfyt,N/A,0 - 50ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,0 - 50ms
y,y,8/12/2021 22:35:36,Etxrnity,As a Player and Spectator,"I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I am applying for the Classic gamemode., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that my opponent will organize our match time for us., I understand that any player watching my match can remove me from TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that I am applying for the Target gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag.","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00, 20:30, 21:00, 21:30, 22:00, 22:30, 23:00, 23:30",EST,United States of America,from August 13th to 16th wont be available. Essentially ill be in between flights,0 - 50ms,50 - 100ms,50 - 100ms,200ms+,100 - 150ms,200ms+,200ms+
y,y,8/12/2021 22:47:32,Deadlyineshtank,As a Player only,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Classic gamemode., I understand that I cannot leave a match for more than 10 total minutes., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it.","17:00, 17:30","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00","10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 17:00, 17:30",Indian standard time(IST),India,Sunday Not available,200ms+,200ms+,200ms+,150 - 200ms,200ms+,50 - 100ms,200ms+
y,y,8/12/2021 23:36:20,Intensity ,As a Player and Spectator,"I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that I am applying for the Classic gamemode., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them.","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00","00:00, 00:30, 01:00, 01:30","00:00, 00:30, 01:00, 01:30","00:00, 00:30, 01:00, 01:30","00:00, 00:30, 01:00, 01:30","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00","00:00, 00:30, 01:00, 01:30, 02:00, 02:30, 03:00, 03:30, 04:00",EST,United States ,N/A,0 - 50ms,0 - 50ms,0 - 50ms,150 - 200ms,0 - 50ms,200ms+,200ms+
y,y,8/12/2021 23:39:08,Redwind,As a Spectator only,"I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that I am applying for the Classic gamemode., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I cannot leave a match for more than 10 total minutes.","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30","03:00, 03:30, 04:30, 05:00, 06:30, 07:00, 07:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30",IST ( India Standard Time ),India,N/A,150 - 200ms,200ms+,200ms+,100 - 150ms,200ms+,50 - 100ms,100 - 150ms
y,n,8/12/2021 23:45:42,Deadpubg,As a Player and Spectator,"I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that I am applying for the Target gamemode., I understand that any player watching my match can remove me from TTOC., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that my opponent will organize our match time for us.","01:00, 02:30, 03:30, 04:00, 05:30, 08:00, 09:30","01:30, 02:00, 04:30, 05:30, 08:30, 12:30","03:30, 10:00","06:00, 08:00, 08:30, 12:30",03:00,"04:00, 07:00, 09:30, 12:30","02:00, 02:30, 03:00, 05:30, 06:00, 08:00",7:44Am (GMT+4),Dubai,N/A,150 - 200ms,150 - 200ms,150 - 200ms,150 - 200ms,150 - 200ms,50 - 100ms,150 - 200ms
n,,8/12/2021 23:47:51,scientistt1,As a Player only,I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community.,"13:30, 14:00, 14:30, 15:00","13:30, 14:00, 14:30, 15:00","13:30, 14:00, 14:30, 15:00","13:30, 14:00, 14:30, 15:00","13:30, 14:00, 14:30, 15:00","13:30, 14:00, 14:30, 15:00","13:30, 14:00, 14:30, 15:00",MYT,Malaysia,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,50 - 100ms,100 - 150ms
y,y,8/12/2021 23:50:07,GrayJay,As a Player only,"I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that chatting and chat-killing is allowed during matches, but I cannot complain about lag., I understand that I am applying for the Classic gamemode., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC.","10:30, 11:00, 11:30, 12:00, 15:30, 16:00, 16:30","10:30, 11:00, 15:30, 16:00, 16:30, 20:00, 20:30","10:30, 11:00, 11:30, 12:00, 15:30, 16:00, 16:30","10:30, 11:00, 15:30, 16:00, 16:30","10:30, 11:00, 11:30, 12:00, 15:30, 16:00, 16:30","10:30, 11:00, 11:30, 12:00, 15:30, 16:00, 16:30","10:30, 11:00, 15:30, 16:00, 16:30, 20:00, 20:30",UTC -4,Canada,17/7 | No | All day ,50 - 100ms,50 - 100ms,150 - 200ms,150 - 200ms,50 - 100ms,200ms+,200ms+
y,y,8/12/2021 23:54:08,Batrizxya,As a Player only,"I understand that any player watching my match can remove me from TTOC., I understand that I cannot leave a match for more than 10 total minutes., I understand that the spectator is in charge of regulating their match. Only a moderator can overrule them., I understand that the TTOC Crew will organize my match times for me, and will remove me from the competition if I miss my match or if I do not confirm my match time at least 12 hours prior to it., I understand that my opponent will organize our match time for us., I understand that if I am suspected of sharing accounts, I will not be allowed to participate in TTOC., I understand that spectators, including substitute spectators, must fill out this form and get approval from the TTOC Crew in order to spectate my match., I understand that I am applying for the Classic gamemode., I understand that players must have over 5000 wins and have 3  month of participation in the TankTrouble Community to compete. Spectators must have over 3 months of participation in the community., I understand that if a player or spectator misses their match or goes against competition standards, they will not be allowed to participate for the remainder of this year's TTOC.","09:30, 10:00, 10:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30","01:30, 02:00, 02:30, 03:00, 03:30, 09:00, 09:30, 10:00, 10:30, 14:00, 14:30, 15:00, 15:30","01:30, 02:00, 02:30, 03:00, 03:30, 09:00, 09:30, 10:00, 10:30, 14:30, 15:00, 15:30","01:30, 02:00, 02:30, 03:00, 03:30, 09:00, 09:30, 10:00, 10:30, 14:00, 14:30, 15:00, 15:30","01:30, 02:00, 02:30, 03:00, 03:30, 09:00, 09:30, 10:00, 10:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30","01:30, 02:00, 02:30, 03:00, 03:30, 07:30, 08:00, 08:30, 09:00, 09:30, 10:00, 10:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30","09:30, 10:00, 10:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30",MYT,Malaysia,N/A,200ms+,200ms+,200ms+,200ms+,200ms+,0 - 50ms,150 - 200ms
y,y,8/13/2021 0:22:42,proffesorbeta,As a Player only,"I understand that I am applying for the Classic gamemode., I understand that TTOC was created by purup and bbc, just like TankTrouble., I understand that I cannot leave a match for more than 10 total minutes.",04:00,04:00,03:30,02:30,02:00,02:00,01:30,5:30 pm,India,N/A,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms,50 - 100ms
